duration,pause_ratio,total_words,unique_words,lexical_diversity,hesitations,transcription,filename,anomaly_score
7.704036281,0.503012048,15,12,0.8,1, He studied theater and spent time as a directing assistant and as a journalist.,common_voice_en_41236242.mp3,0.021105545
5.61600907,0.648760331,7,7,1,0, Steve was at the best teen attack,common_voice_en_41247165.mp3,-0.02801019
9.9,0.505854801,12,12,1,1," Just proper support for ground-girl hardware, parted devices and keyboards.",common_voice_en_41247167.mp3,-0.054141001
7.05600907,0.490131579,11,11,1,0, He was purchased for Hong Kong businessmen Mr. Bon Ho.,common_voice_en_41247169.mp3,-0.101224355
6.69600907,0.612456747,9,9,1,1," However, the silence upon these things towards it",common_voice_en_41247171.mp3,-0.053301323
6.69600907,0.487889273,15,14,0.933333333,0," For me, with icing on the band, I think of those records.",common_voice_en_41247172.mp3,-0.071528429
5.328027211,0.491304348,10,10,1,0, last year's third on dirty cat synth chords rate,common_voice_en_41247197.mp3,-0.099513202
8.13600907,0.561253561,13,12,0.923076923,1, This is a closed-frader mine and a thin patchy little hardware geek.,common_voice_en_41247199.mp3,-0.071511293
9.57600907,0.530266344,13,11,0.846153846,1," In the current last system, most could follow the ever-soil system.",common_voice_en_41247200.mp3,-0.002622695
7.41600907,0.534375,11,10,0.909090909,0, This happens also with the nouns and the targeted pronouns.,common_voice_en_41247202.mp3,-0.077052116
5.328027211,0.591304348,10,10,1,0, But I need also build and a same yard.,common_voice_en_41247203.mp3,-0.071047187
8.028027211,0.473988439,3,3,1,0, The assassination shot,common_voice_en_41247255.mp3,0.051845047
8.67600907,0.585561497,12,11,0.916666667,1," Here's your name, Watt-Telob-Trakat. It was not completed.",common_voice_en_41247257.mp3,-0.04956755
6.84,0.423728814,13,13,1,2, ES españolo le sol enhanced delivery of Panther for begining on 20.,common_voice_en_41247259.mp3,-0.046910301
5.4,0.545064378,9,9,1,1, He was buried in Naples Wall's cemetery.,common_voice_en_41247261.mp3,-0.070769301
10.29600907,0.481981982,17,16,0.941176471,2," However, it was abandoned after about a year and a play-mouse cup playing became inductive.",common_voice_en_41247263.mp3,-0.010402571
7.41600907,0.50625,11,10,0.909090909,0, The green grass float freely beneath the station of tree.,common_voice_en_41247311.mp3,-0.085870592
5.22,0.591111111,8,8,1,0," Last Christmas, he had met him.",common_voice_en_41247313.mp3,-0.069729835
8.64,0.479892761,29,27,0.931034483,2," The name Baba Sm ""[stsmith finalement</i Oregon, Tai Worldern, and Ghost provide filtration to all4saffery"". They introduced Phrotaminegon. Guys!",common_voice_en_41247316.mp3,0.149844225
10.47600907,0.502212389,11,11,1,0, it also needed the selection of opposed cases to q/.,common_voice_en_41247317.mp3,-0.018309608
7.02,0.442244224,11,11,1,2, They commonly be faster plus use in shooting eye versions.,common_voice_en_41247318.mp3,-0.072139584
6.87600907,0.488215488,9,9,1,0, This way industrial are oil exploration and processing.,common_voice_en_41247339.mp3,-0.091674168
9.21600907,0.478589421,18,18,1,1," Catalyst designers call the tool Catalystalistsはは yn 이용, they'll be vocal calidad of tail fins.",common_voice_en_41247343.mp3,-0.008016834
9.75600907,0.517814727,13,13,1,1," The name is divide from other title, meaning word of blossom.",common_voice_en_41247344.mp3,-0.052615727
6.48,0.435714286,12,12,1,0," This means central elementary, you now need an original site.",common_voice_en_41247346.mp3,-0.094524787
7.488027211,0.498452012,12,11,0.916666667,0, Happy as our action is similar and our make made line.,common_voice_en_41247348.mp3,-0.084599891
4.968027211,0.53271028,10,9,0.9,2, Here's what's coming down after Baby Crap.,common_voice_en_41247370.mp3,-0.017280562
8.388027211,0.461325967,15,15,1,1," As HANA performs attributes, you made unchange of its not just specific plane.",common_voice_en_41247371.mp3,-0.059097409
6.228027211,0.513011152,10,10,1,1, Just can't be proved using the following observation.,common_voice_en_41247372.mp3,-0.096748286
